id,name,stars,url,ratings,website,phone,address,lattitude,longitude,emails,social_handle
FGP2WD8wuycs6rYSAlNsZg,Pure Imagination Chocolatier,5.0,https://www.yelp.com/biz/pure-imagination-chocolatier-grandview-heights-2,4.8,nan,nan,nan,nan,nan
TAQMu4iDlNzNV37tL7_U9g,Cafe de Nook,4.5,https://www.yelp.com/biz/cafe-de-nook-columbus,4.7,nan,nan,nan,nan,nan
WisaeuWe7p2k8dZ885zj4Q,Smallcakes Cupcakery and Creamery,4.5,https://www.yelp.com/biz/smallcakes-cupcakery-and-creamery-gahanna-3,4.7,https://www.smallcakescbus.com,6145325185.0,"1249 N Hamilton Rd, Gahanna, OH 43230",40.0514083,-82.86459640000001,orders@smallcakescbus.com,
pfPRIJTqLGfpTBSmnBAaeA,Pistacia Vera,4.5,https://www.yelp.com/biz/pistacia-vera-columbus,4.6,http://www.pistaciavera.com/,6142209070.0,"541 S 3rd St, Columbus, OH 43215",39.951168,-82.99587199999999,hello@pistaciavera.com,
WXhGGq30Oai0xzbsrW_jxg,Dan the Baker,4.5,https://www.yelp.com/biz/dan-the-baker-columbus-2,4.3,http://dan-the-baker.com,6149289035.0,"1028 Ridge St, Columbus, OH 43215",39.970938000000004,-83.041731,"danthebaker@me.com, user@domain.com, dtb.manager@gmail.com",
eSchMq5S3eRSD7WXunT26g,Dirty Dough - Hilliard,3.5,https://www.yelp.com/biz/dirty-dough-hilliard-hilliard-2,3.6,https://dirtydoughcookies.com,nan,nan,nan,nan,analytics@arvo.digital,
Kly1Vwy9EPlS9NnX68ok9g,Kittie's Cakes,4.0,https://www.yelp.com/biz/kitties-cakes-columbus,4.1,http://www.kittiescakes.com,6147548828.0,"495 S 3rd St, Columbus, OH 43206",39.952164,-82.996302,info@kittiescakes.com,
uPP0lRyQF98TQKfGDLY8NA,Mouton,4.0,https://www.yelp.com/biz/mouton-columbus,4.1,http://www.mouton954.com/,6147324660.0,"954 N High St, Columbus, OH 43201",39.981817,-83.0042983,mouton954@gmail.com,
xhnStMiFfouZ1sJl27J4sg,The Pastry Factory,4.5,https://www.yelp.com/biz/the-pastry-factory-columbus,4.6,http://www.mypastryfactory.com,6149289111.0,"59 Spruce St, North Market Downtown, Columbus, OH 43215",39.9718576,-83.0043273,desserts@mypastryfactory.com,https://www.facebook.com/thepastryfactoryllc
Nw1Rdd3QzVzq8UP-TrblIQ,Glazed Churro Bar,4.0,https://www.yelp.com/biz/glazed-churro-bar-columbus,4.1,nan,nan,nan,nan,nan
vDEAQqnikJXVKmM090WbQA,Handel's Ice Cream-Columbus,4.5,https://www.yelp.com/biz/handels-ice-cream-columbus-columbus,4.5,http://www.handelsicecream.com/columbus,6148534464.0,"5665 Feder Rd, Columbus, OH 43228",39.9727857,-83.1517714,info@handelscolumbus.com,https://www.facebook.com/handelscolumbus/
RWN3gD_OhblQjYGHdc44Ew,Cravings Cafe,4.5,https://www.yelp.com/biz/cravings-cafe-columbus,4.6,http://www.cravingscafe614.com,6146704439.0,"114 N Front St, Columbus, OH 43215",39.9645479,-83.0026464
5e8b1ysI8E-l1h_FdEkeag,Bake Me Happy,4.5,https://www.yelp.com/biz/bake-me-happy-columbus-2,4.7,http://www.bakemehappygf.com/,6144773642.0,"500 E Whittier St, Columbus, OH 43206",39.94436682306042,-82.98341110214794
mle4XVlPQBH-IBdJiKpEAg,Destination Donuts,4.0,https://www.yelp.com/biz/destination-donuts-columbus-2,3.8,http://www.destinationdonuts.com,6144079415.0,"3519 N High St, Columbus, OH 43214",40.03387777454885,-83.01686649999998,thedonutgirl@gmail.com,
